"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19630221","US","SHFT","LOW","","","KAWEAH"
"19630221","US","SHFT","LOW","","","CARMEL"
"19630301","US","SHFT","LOW","","","JERBOA"
"19630315","US","SHFT","LOW","","","TOYAH"
"19630318","FR","SH?","4.86","24.041N","005.072E","EMERAUDE"
"19630329","US","SH?","LOW","","","GERBIL"
"19630330","FR","TUNN","l20","24.043N","005.057E","AMETHST"
"19630405","US","SHFT","LOW","","","FERRETPR"
"19630410","US","SHFT","LOW","","","COYPU"
"19630411","US","SHFT","LOW","","","CUMBERLA"
"19630424","US","SHFT","LOW","","","KOOTANAI"
"19630424","US","SHFT","LOW","","","PAISANO"
"19630509","US","SHFT","LOW","","","GUNDIPRI"
"19630517","US","SHFT","LOW","","","HARKEE"
"19630517","US","SHFT","LOW","","","TEJON"
"19630522","US","SHFT","0-1000","","","STONES"
"19630529","US","SHFT","LOW","","","PLEASANT"
"19630605","US","TUNN","LOW","","","YUBA"
"19630606","US","SHFT","LOW","","","HUTIA"
"19630606","US","SHFT","LOW","","","APSHAPAP"
"19630614","US","SHFT","LOW","","","MATACO"
"19630625","US","SHFT","LOW","","","KENNEBEC"
"19630812","US","SHFT","LOW","","","PEKAN"
"19630815","US","SHFT","LOW","","","SATSOP"
"19630823","#NA","S","","","059 NTS0",""
"19630823","US","SS1","LOW","","","NATCHES"
"19630823","#KO","ON*","","","255 NTS0",""
"19630823","US","SS2","LOW","","","KOHOCTON"
"19630913","US","SHFT","LOW","","","AHTANUM"
"19630913","US","SHFT","249","","","BILBY"
"19630927","US","SHFT","LOW","","","CARP"
"19630927","US","SHFT","LOW","","","NARRAGUA"
"19631011","US","SHFT","LOW","","","GRUNION"
"19631011","US","SHFT","LOW","","","TORNILLO"
"19631016","US","SHFT","0-1000","","","CLEARWAT"
"19631017","US","SHFT","LOW","","","MULLET"
"19631020","FR","TUNN","5.49","24.036N","005.039E","RUBIS"
"19631026","US","SHFT","12","","","SHOAL"
"19631114","US","SHFT","LOW","","","ANCHOVY"
"19631115","US","SHFT","LOW","","","MUSTANG"
"19631122","US","SHFT","0-1000","","","GREYS"
"19631204","","","","","",""
"19631204","#SA","E*","","","262 NTS0",""
"19631204","US","SS1","l20","","","SARDINE"
"19631204","#BA","UDA","","","263 NTS0",""
"19631204","US","SS2","l20","","","BARRACUD"
"19631212","US","SHFT","LOW","","","EAGLE"
"19631220","US","SHFT","LOW","","","TUNA"
"19640116","US","SHFT","20-200","37.090N","116.090W","FORE"
"19640123","US","SHFT","l20","37.080N","116.050W","OCONTO"
"19640130","US","SHFT","l20","","","CLUB"
"19640212","US","SHFT","l20","","","SOLENDON"
"19640213","US","SHFT","l20","","","BUNKER"
"19640218","US","SHFT","l20","","","BONEFISH"
